tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
80,50:54.2,52:14.5,285,Broadway & E 14 St,40.73454567,-73.99074142,382,University Pl & E 14 St,40.73492695,-73.99200509,31827,Customer,1969,0
721,51:23.9,03:25.5,289,Monroe St & Classon Ave,40.6845683,-73.95881081,3583,Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,29187,Subscriber,1991,2
324,47:15.8,52:40.7,3435,Grand St & Elizabeth St,40.718822,-73.99596,291,Madison St & Montgomery St,40.713126,-73.984844,28299,Subscriber,1992,1
862,35:55.4,50:17.7,3435,Grand St & Elizabeth St,40.718822,-73.99596,3427,Lafayette St & Jersey St,40.72430527,-73.99600983,33794,Subscriber,1954,1
467,27:27.4,35:15.2,505,6 Ave & W 33 St,40.74901271,-73.98848395,448,W 37 St & 10 Ave,40.75660359,-73.9979009,34144,Subscriber,1991,1
384,51:20.0,57:44.2,3384,Smith St & 3 St,40.6787242,-73.99599099,3389,Carroll St & Columbia St,40.6830456,-74.00348559,38992,Subscriber,1994,1
170,36:49.9,39:40.4,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,39279,Subscriber,1989,1
1111,47:02.9,05:34.1,301,E 2 St & Avenue B,40.72217444,-73.98368779,491,E 24 St & Park Ave S,40.74096374,-73.98602213,32138,Customer,1997,1
1241,40:50.9,01:32.0,427,Bus Slip & State St,40.701907,-74.013942,311,Norfolk St & Broome St,40.7172274,-73.98802084,39356,Subscriber,1977,1
434,41:15.4,48:30.1,519,Pershing Square North,40.751873,-73.977706,492,W 33 St & 7 Ave,40.75019995,-73.99093085,32826,Subscriber,1969,1
3114,22:12.6,14:07.2,3502,Lexington Ave & E 111 St,40.7954121,-73.9441232,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,38567,Customer,1969,0
3863,58:44.6,03:07.6,309,Murray St & West St,40.7149787,-74.013012,514,12 Ave & W 40 St,40.76087502,-74.00277668,33383,Customer,1969,0
453,03:01.2,10:34.6,528,2 Ave & E 31 St,40.74290902,-73.97706058,545,E 23 St & 1 Ave,40.736502,-73.97809472,20663,Subscriber,1980,2
2620,45:22.5,29:02.9,3521,Lenox Ave & W 111 St,40.7987859,-73.9523,3724,7 Ave & Central Park South,40.76674056,-73.97906899,28922,Subscriber,1993,2
405,38:37.7,45:23.0,499,Broadway & W 60 St,40.76915505,-73.98191841,3697,W 64 St & Thelonious Monk Circle,40.77515953,-73.98918696,16011,Subscriber,1956,2
1716,01:16.0,29:52.4,3160,Central Park West & W 76 St,40.77896784,-73.97374737,3282,5 Ave & E 88 St,40.78307,-73.95939,31251,Customer,1994,2
1528,27:30.7,52:58.9,405,Washington St & Gansevoort St,40.739323,-74.008119,212,W 16 St & The High Line,40.74334935,-74.00681753,38227,Customer,1969,0
1770,06:14.5,35:45.5,499,Broadway & W 60 St,40.76915505,-73.98191841,3259,9 Ave & W 28 St,40.74937024,-73.99923384,38179,Customer,1989,2
564,34:48.0,44:12.7,3140,1 Ave & E 78 St,40.77140426,-73.9535166,3345,Madison Ave & E 99 St,40.78948542,-73.95242929,39340,Subscriber,1972,1
